Date,GSPC,VIX
1991-01-02,326.45,26.62
1991-01-03,321.91,27.93
1991-01-04,321.0,27.19
1991-01-07,315.44,28.95
1991-01-08,314.9,30.38
1991-01-09,311.49,33.3
1991-01-10,314.53,31.33
1991-01-11,315.23,32.63
1991-01-14,312.49,36.2
1991-01-15,313.73,36.16
1991-01-16,316.17,33.2
1991-01-17,327.97,27.45
1991-01-18,332.23,25.39
1991-01-21,331.06,24.33
1991-01-22,328.31,24.9
1991-01-23,330.21,23.92
1991-01-24,334.78,22.86
1991-01-25,336.07,22.2
1991-01-28,336.03,23.05
1991-01-29,335.84,23.17
1991-01-30,340.91,21.37
1991-01-31,343.93,20.91
1991-02-01,343.05,21.04
1991-02-04,348.34,21.86
1991-02-05,351.26,21.46
1991-02-06,358.07,22.68
1991-02-07,356.52,23.6
1991-02-08,359.35,23.38
1991-02-11,368.58,22.56
1991-02-12,365.5,22.26
1991-02-13,369.02,20.86
1991-02-14,364.22,21.48
1991-02-15,369.06,19.57
1991-02-19,369.39,19.84
1991-02-20,365.14,22.26
1991-02-21,364.97,20.78
1991-02-22,365.65,21.01
1991-02-25,367.26,22.86
1991-02-26,362.81,20.38
1991-02-27,367.74,21.26
1991-02-28,367.07,21.23
1991-03-01,370.47,21.23
1991-03-04,369.33,20.86
1991-03-05,376.72,20.45
1991-03-06,376.17,20.55
1991-03-07,375.91,21.05
1991-03-08,374.95,20.81
1991-03-11,372.96,20.88
1991-03-12,370.03,18.82
1991-03-13,374.57,16.09
1991-03-14,373.5,14.94
1991-03-15,373.59,14.9
1991-03-18,372.11,15.79
1991-03-19,366.59,16.11
1991-03-20,367.92,16.04
1991-03-21,366.58,16.86
1991-03-22,367.48,16.49
1991-03-25,369.83,16.76
1991-03-26,376.3,16.31
1991-03-27,375.35,16.55
1991-03-28,375.22,16.88
1991-04-01,371.3,17.42
1991-04-02,379.5,17.4
1991-04-03,378.94,17.61
1991-04-04,379.77,18.01
1991-04-05,375.36,17.63
1991-04-08,378.66,17.41
1991-04-09,373.56,20.12
1991-04-10,373.15,19.73
1991-04-11,377.63,17.24
1991-04-12,380.4,18.45
1991-04-15,381.19,16.5
1991-04-16,387.62,15.82
1991-04-17,390.45,15.47
1991-04-18,388.46,16.26
1991-04-19,384.2,15.68
1991-04-22,380.95,16.78
1991-04-23,381.76,17.02
1991-04-24,382.76,16.72
1991-04-25,379.25,17.15
1991-04-26,379.02,17.27
1991-04-29,373.66,18.27
1991-04-30,375.34,18.24
1991-05-01,380.29,17.77
1991-05-02,380.52,17.52
1991-05-03,380.8,17.24
1991-05-06,380.08,17.92
1991-05-07,377.32,17.46
1991-05-08,378.51,17.78
1991-05-09,383.25,17.17
1991-05-10,375.74,17.54
1991-05-13,376.76,17.66
1991-05-14,371.62,18.0
1991-05-15,368.57,18.38
1991-05-16,372.19,17.24
1991-05-17,372.39,16.64
1991-05-20,372.28,17.1
1991-05-21,375.35,16.07
1991-05-22,376.19,16.16
1991-05-23,374.96,16.11
1991-05-24,377.49,15.23
1991-05-28,381.94,15.67
1991-05-29,382.79,15.9
1991-05-30,386.96,16.02
1991-05-31,389.83,15.93
1991-06-03,388.06,16.87
1991-06-04,387.74,16.17
1991-06-05,385.09,16.4
1991-06-06,383.63,16.93
1991-06-07,379.43,16.98
1991-06-10,378.57,17.47
1991-06-11,381.05,17.32
1991-06-12,376.65,17.72
1991-06-13,377.63,16.99
1991-06-14,382.29,15.98
1991-06-17,380.13,15.5
1991-06-18,378.59,16.14
1991-06-19,375.09,17.44
1991-06-20,375.42,16.75
1991-06-21,377.75,16.51
1991-06-24,370.94,18.28
1991-06-25,370.65,17.85
1991-06-26,371.59,17.98
1991-06-27,374.4,17.87
1991-06-28,371.16,19.55
1991-07-01,377.92,18.64
1991-07-02,377.47,17.63
1991-07-03,373.33,19.47
1991-07-05,374.08,18.35
1991-07-08,377.94,20.29
1991-07-09,376.11,19.76
1991-07-10,375.74,19.19
1991-07-11,376.97,17.39
1991-07-12,380.25,18.29
1991-07-15,382.39,17.78
1991-07-16,381.54,17.49
1991-07-17,381.18,17.52
1991-07-18,385.37,15.77
1991-07-19,384.22,15.5
1991-07-22,382.88,16.9
1991-07-23,379.42,16.58
1991-07-24,378.64,16.41
1991-07-25,380.96,15.74
1991-07-26,380.93,15.45
1991-07-29,383.15,15.67
1991-07-30,386.69,15.47
1991-07-31,387.81,15.18
1991-08-01,387.12,15.47
1991-08-02,387.18,15.26
1991-08-05,385.06,15.92
1991-08-06,390.62,15.54
1991-08-07,390.56,15.56
1991-08-08,389.32,15.98
1991-08-09,387.12,15.45
1991-08-12,388.02,15.26
1991-08-13,389.62,14.73
1991-08-14,389.9,15.09
1991-08-15,389.33,15.19
1991-08-16,385.58,16.01
1991-08-19,376.47,21.19
1991-08-20,379.43,18.86
1991-08-21,390.59,15.62
1991-08-22,391.33,14.59
1991-08-23,394.17,14.41
1991-08-26,393.85,14.81
1991-08-27,393.06,15.46
1991-08-28,396.64,15.31
1991-08-29,396.47,14.82
1991-08-30,395.43,14.46
1991-09-03,392.15,16.57
1991-09-04,389.97,17.18
1991-09-05,389.14,17.31
1991-09-06,389.1,16.76
1991-09-09,388.57,17.73
1991-09-10,384.56,18.22
1991-09-11,385.09,17.96
1991-09-12,387.34,16.21
1991-09-13,383.59,17.88
1991-09-16,385.78,17.82
1991-09-17,385.5,17.68
1991-09-18,386.94,17.56
1991-09-19,387.56,17.56
1991-09-20,387.92,17.08
1991-09-23,385.92,16.38
1991-09-24,387.71,16.04
1991-09-25,386.88,15.68
1991-09-26,386.49,15.35
1991-09-27,385.9,16.31
1991-09-30,387.86,15.85
1991-10-01,389.2,14.81
1991-10-02,388.26,15.81
1991-10-03,384.47,17.04
1991-10-04,381.25,15.63
1991-10-07,379.5,18.58
1991-10-08,380.67,17.81
1991-10-09,376.8,18.54
1991-10-10,380.55,17.8
1991-10-11,381.45,17.6
1991-10-14,386.47,16.71
1991-10-15,391.01,16.22
1991-10-16,392.8,14.85
1991-10-17,391.92,16.32
1991-10-18,392.5,15.87
1991-10-21,390.02,16.66
1991-10-22,387.83,16.55
1991-10-23,387.94,16.26
1991-10-24,385.07,15.62
1991-10-25,384.2,15.75
1991-10-28,389.52,15.45
1991-10-29,391.48,15.55
1991-10-30,392.96,15.46
1991-10-31,392.45,15.48
1991-11-01,391.32,15.6
1991-11-04,390.28,16.35
1991-11-05,388.71,16.48
1991-11-06,389.97,16.47
1991-11-07,393.72,15.97
1991-11-08,392.89,15.43
1991-11-11,393.12,14.89
1991-11-12,396.74,14.04
1991-11-13,397.41,13.95
1991-11-14,397.15,13.96
1991-11-15,382.62,21.18
1991-11-18,385.24,18.28
1991-11-19,379.42,20.34
1991-11-20,378.53,20.4
1991-11-21,380.06,19.11
1991-11-22,376.14,21.2
1991-11-25,375.34,21.92
1991-11-26,377.96,19.8
1991-11-27,376.55,19.84
1991-11-29,375.22,20.26
1991-12-02,381.4,20.18
1991-12-03,380.96,19.7
1991-12-04,380.07,19.54
1991-12-05,377.39,20.19
1991-12-06,379.1,19.04
1991-12-09,378.26,19.74
1991-12-10,377.9,19.89
1991-12-11,377.7,20.57
1991-12-12,381.55,19.08
1991-12-13,384.47,17.88
1991-12-16,384.46,17.62
1991-12-17,382.74,18.12
1991-12-18,383.48,17.78
1991-12-19,382.52,17.96
1991-12-20,387.04,17.65
1991-12-23,396.82,16.61
1991-12-24,399.33,15.67
1991-12-26,404.84,15.44
1991-12-27,406.46,15.7
1991-12-30,415.14,17.63
1991-12-31,417.09,19.31
1992-01-02,417.26,18.95
1992-01-03,419.34,18.75
1992-01-06,417.96,18.96
1992-01-07,417.4,19.23
1992-01-08,418.1,18.72
1992-01-09,417.61,18.96
1992-01-10,415.1,18.45
1992-01-13,414.34,18.01
1992-01-14,420.44,17.01
1992-01-15,420.77,17.39
1992-01-16,418.21,17.64
1992-01-17,418.86,16.32
1992-01-20,416.36,16.42
1992-01-21,412.64,17.92
1992-01-22,418.13,16.75
1992-01-23,414.96,16.46
1992-01-24,415.48,16.24
1992-01-27,414.99,16.67
1992-01-28,414.96,17.67
1992-01-29,410.34,17.62
1992-01-30,411.62,17.49
1992-01-31,408.78,17.4
1992-02-03,409.53,18.2
1992-02-04,413.85,17.96
1992-02-05,413.84,18.22
1992-02-06,413.82,18.79
1992-02-07,411.09,18.51
1992-02-10,413.77,18.56
1992-02-11,413.76,17.7
1992-02-12,417.13,17.37
1992-02-13,413.69,17.45
1992-02-14,412.48,17.03
1992-02-18,407.38,18.22
1992-02-19,408.26,17.16
1992-02-20,413.9,16.72
1992-02-21,411.43,16.87
1992-02-24,412.27,17.13
1992-02-25,410.45,16.35
1992-02-26,415.35,16.64
1992-02-27,413.86,16.51
1992-02-28,412.7,16.68
1992-03-02,412.45,16.88
1992-03-03,412.85,17.26
1992-03-04,409.33,17.89
1992-03-05,406.51,18.47
1992-03-06,404.44,19.75
1992-03-09,405.21,19.68
1992-03-10,406.89,18.68
1992-03-11,404.03,19.79
1992-03-12,403.89,19.72
1992-03-13,405.84,18.35
1992-03-16,406.39,18.46
1992-03-17,409.58,16.79
1992-03-18,409.15,16.69
1992-03-19,409.8,16.52
1992-03-20,411.3,16.82
1992-03-23,409.91,16.73
1992-03-24,408.88,16.32
1992-03-25,407.52,16.19
1992-03-26,407.86,16.29
1992-03-27,403.5,16.02
1992-03-30,403.0,15.97
1992-03-31,403.69,16.18
1992-04-01,404.23,16.48
1992-04-02,400.5,17.06
1992-04-03,401.55,16.72
1992-04-06,405.59,16.72
1992-04-07,398.06,18.81
1992-04-08,394.5,20.15
1992-04-09,400.64,17.89
1992-04-10,404.29,16.85
1992-04-13,406.08,16.99
1992-04-14,412.39,15.98
1992-04-15,416.28,15.15
1992-04-16,416.04,14.85
1992-04-20,410.18,15.93
1992-04-21,410.26,16.53
1992-04-22,409.81,15.96
1992-04-23,411.6,15.83
1992-04-24,409.02,15.71
1992-04-27,408.45,16.49
1992-04-28,409.11,16.24
1992-04-29,412.02,15.95
1992-04-30,414.95,15.53
1992-05-01,412.53,16.61
1992-05-04,416.91,16.92
1992-05-05,416.84,16.66
1992-05-06,416.79,16.81
1992-05-07,415.85,16.54
1992-05-08,416.05,15.65
1992-05-11,418.49,15.17
1992-05-12,416.29,15.68
1992-05-13,416.45,15.19
1992-05-14,413.14,15.49
1992-05-15,410.09,14.82
1992-05-18,412.81,14.62
1992-05-19,416.37,13.57
1992-05-20,415.39,13.62
1992-05-21,412.6,13.92
1992-05-22,414.02,13.73
1992-05-26,411.41,14.92
1992-05-27,412.17,13.99
1992-05-28,416.74,13.77
1992-05-29,415.35,13.86
1992-06-01,417.3,14.43
1992-06-02,413.5,14.57
1992-06-03,414.59,14.35
1992-06-04,413.26,13.66
1992-06-05,413.48,14.65
1992-06-08,413.36,15.19
1992-06-09,410.06,15.97
1992-06-10,407.25,16.62
1992-06-11,409.05,16.29
1992-06-12,409.76,14.95
1992-06-15,410.29,14.76
1992-06-16,408.32,15.22
1992-06-17,402.26,18.08
1992-06-18,400.96,18.2
1992-06-19,403.67,16.31
1992-06-22,403.4,16.66
